ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13754694,JJ156537,02/21/2025 08:05:00 AM,048XX W CRYSTAL ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,2533,025,37,25,26,1144050,1907884,2025,03/01/2025 03:41:07 PM,41.903258397,-87.746318014,POINT (-87.746318014 41.903258397)
13754929,JJ156524,02/21/2025 08:00:00 AM,123XX S MICHIGAN AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,false,true,0532,005,9,53,08B,1179074,1823124,2025,03/01/2025 03:41:07 PM,41.669939004,-87.620250438,POINT (-87.620250438 41.669939004)
13772193,JJ177706,02/21/2025 08:00:00 AM,055XX N KENMORE AVE,0810,THEFT,OVER $500,APARTMENT,false,false,2023,020,48,77,06,1168250,1936946,2025,03/13/2025 03:40:19 PM,41.982516992,-87.656583616,POINT (-87.656583616 41.982516992)
13754701,JJ156598,02/21/2025 08:00:00 AM,010XX N SACRAMENTO AVE,0810,THEFT,OVER $500,NURSING / RETIREMENT HOME,false,false,1211,012,26,24,06,1156188,1907011,2025,03/01/2025 03:41:07 PM,41.900626231,-87.701755961,POINT (-87.701755961 41.900626231)
13754795,JJ156533,02/21/2025 08:00:00 AM,043XX W WILCOX ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,false,true,1115,011,28,26,04B,1147452,1898983,2025,03/01/2025 03:41:07 PM,41.878768511,-87.734049985,POINT (-87.734049985 41.878768511)
13754905,JJ156964,02/21/2025 08:00:00 AM,039XX N HARLEM AVE,0460,BATTERY,SIMPLE,STREET,true,false,1632,016,38,17,08B,1127358,1925500,2025,03/01/2025 03:41:07 PM,41.951896008,-87.807235367,POINT (-87.807235367 41.951896008)
13755384,JJ157229,02/21/2025 08:00:00 AM,028XX N CENTRAL PARK AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1412,014,35,21,11,1151886,1919061,2025,03/01/2025 03:41:07 PM,41.933778326,-87.717239583,POINT (-87.717239583 41.933778326)
13755393,JJ157461,02/21/2025 08:00:00 AM,0000X E 8TH ST,0810,THEFT,OVER $500,APARTMENT,false,false,0123,001,4,32,06,1176533,1896669,2025,03/01/2025 03:41:07 PM,41.871811902,-87.627340674,POINT (-87.627340674 41.871811902)
13762424,JJ165972,02/21/2025 08:00:00 AM,0000X W GOETHE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1824,018,2,8,11,1175835,1909053,2025,03/04/2025 03:40:37 PM,41.905809996,-87.62953037,POINT (-87.62953037 41.905809996)
13754788,JJ156785,02/21/2025 07:42:00 AM,069XX S WABASH AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0322,003,6,69,08A,1177924,1859020,2025,03/01/2025 03:41:07 PM,41.768468409,-87.623375911,POINT (-87.623375911 41.768468409)
13754759,JJ156519,02/21/2025 07:38:00 AM,043XX S STATE ST,0860,THEFT,RETAIL THEFT,GAS STATION,true,false,0215,002,3,38,06,1176995,1876348,2025,03/01/2025 03:41:07 PM,41.816039143,-87.626258734,POINT (-87.626258734 41.816039143)
13754682,JJ156605,02/21/2025 07:35:00 AM,0000X W TERMINAL ST,1335,CRIMINAL TRESPASS,TO AIRPORT,AIRPORT EXTERIOR - SECURE AREA,true,false,1651,016,41,76,26,1100317,1935229,2025,03/01/2025 03:41:07 PM,41.979006297,-87.906463155,POINT (-87.906463155 41.979006297)
13755097,JJ156742,02/21/2025 07:32:00 AM,094XX S HALSTED ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2223,022,21,73,08A,1172639,1842205,2025,03/01/2025 03:41:07 PM,41.722443927,-87.643242243,POINT (-87.643242243 41.722443927)
13754874,JJ156548,02/21/2025 07:30:00 AM,075XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,false,false,0612,006,17,71,08A,1166987,1854622,2025,03/01/2025 03:41:07 PM,41.756640447,-87.663590843,POINT (-87.663590843 41.756640447)
13755735,JJ156525,02/21/2025 07:30:00 AM,032XX N HALSTED ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1925,019,44,6,06,1170360,1921560,2025,03/01/2025 03:41:07 PM,41.940251326,-87.649275328,POINT (-87.649275328 41.940251326)
13754653,JJ156501,02/21/2025 07:27:00 AM,024XX W LEXINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1135,011,28,28,08B,1160144,1896629,2025,03/01/2025 03:41:07 PM,41.87205627,-87.687512316,POINT (-87.687512316 41.87205627)
13755642,JJ157786,02/21/2025 07:24:00 AM,008XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1923,019,46,6,06,1169809,1926762,2025,03/01/2025 03:41:07 PM,41.954537863,-87.65114825,POINT (-87.65114825 41.954537863)
13755896,JJ158002,02/21/2025 07:19:00 AM,033XX N HALSTED ST,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,false,false,1925,019,44,6,05,1170337,1922265,2025,03/01/2025 03:41:07 PM,41.942186378,-87.649339185,POINT (-87.649339185 41.942186378)
13754750,JJ156518,02/21/2025 07:18:00 AM,032XX N WESTERN AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,false,false,1921,019,47,5,08B,1159779,1921272,2025,03/01/2025 03:41:07 PM,41.939686145,-87.688171915,POINT (-87.688171915 41.939686145)
13754619,JJ156564,02/21/2025 07:15:00 AM,046XX N MAGNOLIA AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1913,019,46,3,08B,1167080,1930935,2025,03/01/2025 03:41:07 PM,41.966047906,-87.661060061,POINT (-87.661060061 41.966047906)
13754692,JJ156563,02/21/2025 07:15:00 AM,068XX S EAST END AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,VEHICLE NON-COMMERCIAL,true,false,0332,003,5,43,24,1188717,1859872,2025,03/01/2025 03:41:07 PM,41.770555085,-87.583787601,POINT (-87.583787601 41.770555085)
13762352,JJ165831,02/21/2025 07:15:00 AM,008XX W GRAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1214,012,27,24,14,1170751,1903678,2025,03/04/2025 03:40:37 PM,41.891173615,-87.648363187,POINT (-87.648363187 41.891173615)
13754942,JJ156908,02/21/2025 07:12:00 AM,030XX S HAMLIN AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,false,false,1031,010,22,30,11,1151524,1884098,2025,03/01/2025 03:41:07 PM,41.837843313,-87.71948903,POINT (-87.71948903 41.837843313)
13754716,JJ156487,02/21/2025 07:09:00 AM,059XX S RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0824,008,15,66,08B,1157728,1865164,2025,03/01/2025 03:41:07 PM,41.785762052,-87.697237844,POINT (-87.697237844 41.785762052)
13764167,JJ167990,02/21/2025 07:00:00 AM,002XX N CENTRAL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1512,015,29,25,26,1139003,1901097,2025,03/05/2025 03:41:23 PM,41.884727302,-87.765022088,POINT (-87.765022088 41.884727302)
13755318,JJ156924,02/21/2025 07:00:00 AM,005XX W ARLINGTON PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1935,019,43,7,11,1172302,1916659,2025,03/01/2025 03:41:07 PM,41.926760039,-87.642283084,POINT (-87.642283084 41.926760039)
13754998,JJ157076,02/21/2025 07:00:00 AM,075XX S STEWART AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0623,006,6,69,07,1174934,1854853,2025,03/01/2025 03:41:07 PM,41.757100875,-87.63445976,POINT (-87.63445976 41.757100875)
13759342,JJ159995,02/21/2025 07:00:00 AM,105XX S COTTAGE GROVE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0512,005,9,50,07,1182476,1835367,2025,03/01/2025 03:41:07 PM,41.703457561,-87.607422031,POINT (-87.607422031 41.703457561)
13754940,JJ156581,02/21/2025 07:00:00 AM,062XX S EBERHART AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0313,003,20,42,08A,1180652,1863778,2025,03/01/2025 03:41:07 PM,41.781462605,-87.613230509,POINT (-87.613230509 41.781462605)
13763188,JJ166857,02/21/2025 07:00:00 AM,010XX N WASHTENAW AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1211,012,26,24,06,1158212,1906627,2025,03/04/2025 03:40:37 PM,41.899531373,-87.69433218,POINT (-87.69433218 41.899531373)
13754711,JJ156575,02/21/2025 07:00:00 AM,010XX W 47TH PL,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,false,false,0933,009,20,61,06,1170093,1873313,2025,03/01/2025 03:41:07 PM,41.807863844,-87.651664896,POINT (-87.651664896 41.807863844)
13754749,JJ156766,02/21/2025 07:00:00 AM,086XX S ABERDEEN ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0613,006,17,71,06,1170494,1847547,2025,03/01/2025 03:41:07 PM,41.737150055,-87.650943966,POINT (-87.650943966 41.737150055)
13754677,JJ156490,02/21/2025 06:54:00 AM,036XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,GOVERNMENT BUILDING / PROPERTY,false,false,1922,019,47,5,08A,1163526,1924247,2025,03/01/2025 03:41:07 PM,41.947771496,-87.674316525,POINT (-87.674316525 41.947771496)
13754659,JJ156476,02/21/2025 06:53:00 AM,005XX W DEMING PL,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1935,019,43,7,06,1172152,1917241,2025,03/01/2025 03:41:07 PM,41.928360388,-87.64281704,POINT (-87.64281704 41.928360388)
